40,29
17,20
65,15
3,17
97,89
65,69
64,39
9,19
65,16
68,80
61,85
66,84
50,37
85,24
35,78
73,63
3,71
74,1
1,58
5,51
41,31
79,97
46,88
84,49
90,36
99,27
43,40
85,27
9,17
71,81
80,6
38,58
76,3
94,75
22,26
31,65
52,81
69,51
90,43
96,78
35,46
61,30
21,14
27,35
16,38
63,77
85,86
49,27
94,91
19,86
47,39
72,62
5,11
81,60
80,41
80,2
32,48
54,30
53,8
90,38
35,99
74,19
96,94
4,64
98,73
55,73
26,93
11,27
12,42
53,26
36,77
73,96
10,28
96,83
53,43
3,62
50,87
86,87
100,100
85,26
19,46
23,30
2,17
50,77
1,10
67,79
68,94
60,61
46,53
12,75
100,96
60,23
17,51
7,83
23,29
58,34
58,85
48,25
10,29
72,91
