80,62
13,21
56,59
40,59
55,85
21,59
93,9
100,38
78,70
92,86
28,99
60,93
39,47
2,8
46,9
79,10
16,78
7,11
22,13
87,23
38,8
32,6
31,56
59,5
74,32
28,37
77,83
20,86
54,23
52,97
76,88
28,70
62,66
95,93
96,40
38,46
4,80
43,37
46,55
42,23
34,10
47,31
64,94
19,66
59,55
24,15
57,62
43,66
43,15
50,28
3,67
24,99
13,80
17,91
52,27
95,21
52,22
100,13
65,66
87,18
38,76
43,72
2,19
72,25
3,95
31,77
53,86
3,64
15,3
71,64
24,3
11,84
31,97
18,83
80,20
35,30
41,48
42,34
62,22
45,87
61,38
54,78
95,37
18,3
20,85
49,62
33,38
36,58
51,51
76,59
26,39
47,93
63,96
39,55
73,99
85,89
95,84
19,29
34,36
35,38
